experiment_id,status,reference_runtime_seconds,compute_budget,num_params,num_hidden_layers,hidden_size,num_heads,intermediate_size,total_train_tokens,batch_size,learning_rate,max_runtime_seconds,used_runtime_seconds,final_loss,last_3_average_loss
2330,completed,60,6629770959484016.0,21233664,12,384,6,1024,52166656,32,0.003,71,66.59840490901843,4.2900390625,4.300130208333333
2333,completed,60,6629770959484016.0,44040192,14,512,8,1536,25165824,32,0.003,50,45.09633190697059,4.62109375,4.631510416666667
2346,completed,60,6629770959484016.0,63700992,16,576,9,1536,17563648,32,0.003,42,39.398512351093814,4.71875,4.732421875
2347,completed,60,6629770959484016.0,88473600,18,640,10,1792,12582912,32,0.003,36,33.956641286145896,4.966796875,4.978515625
2355,failed,60,6629770959484016.0,6291456,8,256,4,768,175636480,32,0.003,127,128.7651354658883,4.123046875,4.129231770833333
2365,completed,60,6629770959484016.0,12288000,10,320,5,1024,90177536,32,0.003,92,91.93423285079189,4.1689453125,4.17578125
2371,failed,60,6629770959484016.0,786432,4,128,2,512,1405091840,32,0.003,376,404.95472056791186,4.451171875,4.465494791666667
2375,failed,60,6629770959484016.0,2654208,6,192,3,512,416546816,32,0.003,210,217.60091197304428,4.208984375,4.211263020833333
2393,failed,120,1.3259541918968032e+16,2654208,6,192,3,512,832831488,32,0.003,418,432.53290025610477,4.1416015625,4.142903645833333
2404,completed,120,1.3259541918968032e+16,6291456,8,256,4,768,351272960,32,0.003,276,254.24514729110524,4.0107421875,4.014322916666667
2410,completed,120,1.3259541918968032e+16,12288000,10,320,5,1024,180092928,32,0.003,200,181.84296735189855,4.009765625,4.014973958333333
2414,completed,120,1.3259541918968032e+16,21233664,12,384,6,1024,104333312,32,0.003,154,133.59462009900017,4.0888671875,4.092447916666667
2447,completed,240,2.6519083837936064e+16,6291456,8,256,4,768,702545920,32,0.003,551,525.6128536269534,3.9267578125,3.9283854166666665
2457,completed,240,2.6519083837936064e+16,12288000,10,320,5,1024,359923712,32,0.003,399,359.24441829510033,3.888671875,3.8929036458333335
2466,completed,240,2.6519083837936064e+16,21233664,12,384,6,1024,208404480,32,0.003,307,249.85403084405698,3.9248046875,3.9296875
2573,completed,480,5.119833075123179e+16,12288000,10,320,5,1024,694681600,32,0.003,823,697.1391777039971,3.8037109375,3.8079427083333335
2588,completed,480,5.119833075123179e+16,17694720,10,384,6,1024,482344960,32,0.003,678,509.33833203907125,3.8037109375,3.8063151041666665
2592,completed,480,5.119833075123179e+16,28901376,12,448,7,1280,295436288,32,0.003,524,419.31342950899943,3.8046875,3.8089192708333335
2613,completed,960,1.0239666150246358e+17,17694720,10,384,6,1024,964689920,32,0.003,1356,1070.290742895013,3.7216796875,3.7239583333333335
2625,completed,960,1.0239666150246358e+17,28901376,12,448,7,1280,590610432,32,0.003,1047,844.6602499450091,3.6845703125,3.6861979166666665
2633,completed,960,1.0239666150246358e+17,44040192,14,512,8,1536,387710976,32,0.003,839,684.9641836150549,3.703125,3.7067057291666665
2641,completed,2880,3.071899845073907e+17,44040192,14,512,8,1536,1162608640,32,0.003,2514,2043.0574213787913,3.5439453125,3.548828125
2669,completed,2880,3.071899845073907e+17,50331648,16,512,8,1536,1017380864,32,0.003,2343,2169.9381138270255,3.544921875,3.5485026041666665
2705,completed,2880,3.071899845073907e+17,63700992,16,576,9,1536,803733504,32,0.003,2068,1753.1247536320006,3.5283203125,3.5296223958333335
2895,completed,2880,3.071899845073907e+17,118947840,20,704,11,2048,430440448,32,0.003,1488,1411.6210856480175,3.56640625,3.5719401041666665
2894,completed,2880,3.071899845073907e+17,88473600,18,640,10,1792,578813952,32,0.003,1740,1462.7396744389553,3.556640625,3.5598958333333335
2994,completed,5760,6.110796853961046e+17,118947840,20,704,11,2048,856424448,32,0.003,3004,2753.1202254612,3.447265625,3.4501953125
2993,completed,5760,6.110796853961046e+17,88473600,18,640,10,1792,1151336448,32,0.003,3506,2919.5199834380765,3.4345703125,3.4388020833333335
3101,completed,5760,6.110796853961046e+17,63700992,16,576,9,1536,1599078400,32,0.003,4161,3336.581818451872,3.4365234375,3.4401041666666665
