d_model,num_heads,num_hidden_layers,intermediate_size,model_params,batch_size,learning_rate,optimizer_steps,data_size,experiment_id,status,used_runtime_seconds,final_loss,last_3_average_loss
256,4,8,768,6291456,32,0.003,1024,16777216,3851,completed,13.464426140999421,5.0078125,5.016276041666667
256,4,8,768,6291456,32,0.01,1024,16777216,3852,completed,13.149461616994813,4.919921875,4.934895833333333
256,4,8,768,6291456,32,0.02,1024,16777216,3853,completed,12.820887621957809,5.025390625,5.043619791666667
256,4,8,768,6291456,32,0.003,2048,33554432,2538,completed,25.34245878481306,4.685546875,4.697265625
256,4,8,768,6291456,32,0.01,2048,33554432,3580,completed,25.510995878838003,4.443359375,4.458984375
256,4,8,768,6291456,32,0.02,2048,33554432,3595,completed,27.551749379003013,4.671875,4.688151041666667
256,4,8,768,6291456,32,0.003,4096,67108864,3854,completed,49.44818625296466,4.373046875,4.380859375
256,4,8,768,6291456,32,0.01,4096,67108864,3857,completed,51.19123563193716,4.27734375,4.285481770833333
256,4,8,768,6291456,32,0.02,4096,67108864,3858,completed,51.91747578699142,4.2373046875,4.248046875
256,4,8,768,6291456,32,0.03,4096,67108864,3885,completed,50.470445645973086,4.2578125,4.273763020833333
256,4,8,768,6291456,32,0.01,8192,134217728,3889,completed,100.52597701502964,4.1064453125,4.111979166666667
256,4,8,768,6291456,32,0.02,8192,134217728,3893,completed,100.19200959103182,4.1083984375,4.115559895833333
256,4,8,768,6291456,32,0.03,8192,134217728,3899,completed,99.55786136700772,4.087890625,4.101236979166667
256,4,8,768,6291456,32,0.05,8192,134217728,3912,completed,101.25757132982835,4.08203125,4.095703125
256,4,8,768,6291456,32,0.1,8192,134217728,3916,completed,105.3430609049974,4.1357421875,4.160481770833333
