d_model, num_heads, num_hidden_layers, intermediate_size, model_params, batch_size, learning_rate, optimizer_steps, data_size, experiment_id, status   , used_runtime_seconds, final_loss , last_3_average_loss
    384,         6,                 8,              1024,     14155776,         32,         0.003,            2048,  33554432,          2266, completed,   33.31309701304417 , 4.525390625,   4.535807291666667
    640,        10,                12,              2048,     58982400,         32,         0.003,            2048,  33554432,          2268, failed   ,   61.822704476013314, 4.388671875,   4.408854166666667
    768,        12,                16,              3072,    113246208,         32,         0.003,            2048,  33554432,          2270, failed   ,   60.40222668700153 , 4.564453125,   4.650390625
    384,         6,                 8,              1024,     14155776,        128,         0.006,             512,  33554432,          2273, completed,   30.29894578596577 , 5.05859375 ,   5.072265625
    640,        10,                12,              2048,     58982400,        128,         0.006,             512,  33554432,          2274, failed   ,   62.7082263790071  , 5.0625     ,   5.077473958333333
    768,        12,                16,              3072,    113246208,        128,         0.006,             512,  33554432,          2275, failed   ,   61.42551977280527 , 5.771484375,   5.8515625
    384,         6,                 8,              1024,     14155776,        512,         0.012,             128,  33554432,          2276, completed,   29.812210487900302, 6.423828125,   6.431640625
    640,        10,                12,              2048,     58982400,        512,         0.012,             128,  33554432,          2277, failed   ,   10.11122666602023 ,            ,    
    768,        12,                16,              3072,    113246208,        512,         0.012,             128,  33554432,          2278, failed   ,   10.11574572417885 ,            ,    
    384,         6,                 8,              1024,     14155776,         32,         0.003,            1024,  16777216,          1592, completed,                  , 4.833984375,   4.84765625
    640,        10,                12,              2048,     58982400,         32,         0.003,            1024,  16777216,          1593, completed,                  , 4.708984375,   4.720703125
    768,        12,                16,              3072,    113246208,         32,         0.003,            1024,  16777216,          1595, completed,                  , 4.716796875,   4.729817708333333
    768,        12,                16,              3072,    113246208,        128,         0.003,             256,  16777216,          1605, completed,                  , 5.818359375,   5.841796875
    640,        10,                12,              2048,     58982400,        128,         0.006,             512,  33554432,          2295, completed,   66.55896327301161 , 5.154296875,   5.169270833333333
    768,        12,                16,              3072,    113246208,        128,         0.006,             512,  33554432,          2296, completed,  113.74098145600874 , 5.279296875,   5.301432291666667
    640,        10,                12,              2048,     58982400,        512,         0.012,             128,  33554432,          2298, failed   ,   10.24542113795178 ,            ,    
    768,        12,                16,              3072,    113246208,        512,         0.012,             128,  33554432,          2299, failed   ,   10.243531193002127,            ,    
