d_model, num_heads, num_hidden_layers, intermediate_size, model_params, batch_size, learning_rate, optimizer_steps, data_size, experiment_id, status   , used_runtime_seconds, final_loss , last_3_average_loss
    256,         4,                 8,               768,      6291456,         32,         0.02 ,            2048,  33554432,          3595, completed,   27.551749379003013, 4.671875   ,   4.688151041666667
    320,         5,                10,              1024,     12288000,         32,         0.02 ,            2048,  33554432,          3602, completed,   41.515199336994556, 4.478515625,   4.500651041666667
    384,         6,                12,              1024,     21233664,         32,         0.02 ,            2048,  33554432,          3604, completed,   41.920551641029306, 4.53125    ,   4.552083333333333
    256,         4,                 8,               768,      6291456,         32,         0.03 ,            2048,  33554432,          3605, completed,   25.32635568099795 , 4.673828125,   4.692708333333333
    320,         5,                10,              1024,     12288000,         32,         0.03 ,            2048,  33554432,          3610, completed,   34.510826161829755, 4.58984375 ,   4.609375
    384,         6,                12,              1024,     21233664,         32,         0.03 ,            2048,  33554432,          3612, completed,   41.373363008955494, 4.580078125,   4.600911458333333
    256,         4,                 8,               768,      6291456,         32,         0.001,            2048,  33554432,          3574, completed,   25.50952251799754 , 5.18359375 ,   5.184244791666667
    320,         5,                10,              1024,     12288000,         32,         0.001,            2048,  33554432,          3575, completed,   36.31917951200012 , 5.03515625 ,   5.039713541666667
    384,         6,                12,              1024,     21233664,         32,         0.001,            2048,  33554432,          3579, completed,   42.13632265897468 , 4.98046875 ,   4.985677083333333
    256,         4,                 8,               768,      6291456,         32,         0.01 ,            2048,  33554432,          3580, completed,   25.510995878838003, 4.443359375,   4.458984375
    320,         5,                10,              1024,     12288000,         32,         0.01 ,            2048,  33554432,          3583, completed,   34.47411146899685 , 4.408203125,   4.423177083333333
    384,         6,                12,              1024,     21233664,         32,         0.01 ,            2048,  33554432,          3586, completed,   42.25789650413208 , 4.416015625,   4.430989583333333
    256,         4,                 8,               768,      6291456,         32,         0.003,            2048,  33554432,          2538, completed,   25.34245878481306 , 4.685546875,   4.697265625
    320,         5,                10,              1024,     12288000,         32,         0.003,            2048,  33554432,          2539, completed,   34.50982512906194 , 4.62890625 ,   4.636067708333333
    384,         6,                12,              1024,     21233664,         32,         0.003,            2048,  33554432,          2541, completed,   42.34223882108927 , 4.53515625 ,   4.548177083333333
