d_model,num_heads,num_hidden_layers,intermediate_size,model_params,batch_size,learning_rate,data_size,experiment_id,status,used_runtime_seconds,final_loss,last_3_average_loss,optimizer_steps
448,7,10,1280,24084480,32,0.002121320343559643,33554432,1556,completed,41.970190037973225,4.5703125,4.578125,
384,6,8,1024,14155776,32,0.003,33554432,1625,completed,31.88942277012393,4.509765625,4.517578125,
640,10,12,2048,58982400,32,0.003,33554432,1626,completed,64.26287947199307,4.375,4.386067708333333,
768,12,16,3072,113246208,32,0.003,33554432,1631,completed,107.40190869313665,4.3134765625,4.326171875,
384,6,8,1024,14155776,32,0.003,33554432,2266,completed,33.31309701304417,4.525390625,4.535807291666667,
256,4,8,768,6291456,32,0.003,33554432,2538,completed,25.34245878481306,4.685546875,4.697265625,
320,5,10,1024,12288000,32,0.003,33554432,2539,completed,34.50982512906194,4.62890625,4.636067708333333,
384,6,12,1024,21233664,32,0.003,33554432,2541,completed,42.34223882108927,4.53515625,4.548177083333333,
256,4,8,768,6291456,32,0.001,33554432,3574,completed,25.50952251799754,5.18359375,5.184244791666667,
320,5,10,1024,12288000,32,0.001,33554432,3575,completed,36.31917951200012,5.03515625,5.039713541666667,
384,6,12,1024,21233664,32,0.001,33554432,3579,completed,42.13632265897468,4.98046875,4.985677083333333,
256,4,8,768,6291456,32,0.01,33554432,3580,completed,25.510995878838003,4.443359375,4.458984375,
320,5,10,1024,12288000,32,0.01,33554432,3583,completed,34.47411146899685,4.408203125,4.423177083333333,
384,6,12,1024,21233664,32,0.01,33554432,3586,completed,42.25789650413208,4.416015625,4.430989583333333,
256,4,8,768,6291456,32,0.02,33554432,3595,completed,27.551749379003013,4.671875,4.688151041666667,
320,5,10,1024,12288000,32,0.02,33554432,3602,completed,41.515199336994556,4.478515625,4.500651041666667,
384,6,12,1024,21233664,32,0.02,33554432,3604,completed,41.920551641029306,4.53125,4.552083333333333,
256,4,8,768,6291456,32,0.03,33554432,3605,completed,25.32635568099795,4.673828125,4.692708333333333,
320,5,10,1024,12288000,32,0.03,33554432,3610,completed,34.510826161829755,4.58984375,4.609375,
384,6,12,1024,21233664,32,0.03,33554432,3612,completed,41.373363008955494,4.580078125,4.600911458333333,
448,7,10,1280,24084480,32,0.003,33554432,4030,completed,42.07213841099292,4.4375,4.446614583333333,
448,7,10,1280,24084480,32,0.001,33554432,4082,completed,41.90998891717754,4.8671875,4.869140625,2048.0
448,7,10,1280,24084480,32,0.01,33554432,4088,completed,42.10180226410739,4.392578125,4.405598958333333,2048.0
