model_params,tokens_per_second,seconds_per_token,num_runs
6291456,1359126.6721933703,7.359683678820339e-07,2
12288000,993425.4314869876,1.0066275639077626e-06,4
14155776,989655.8318156828,1.0145057479458292e-06,2
17694720,924168.7568591784,1.0827144368695982e-06,2
21233664,783301.8834500021,1.276647000509644e-06,3
24084480,769096.8151043949,1.3002359800368124e-06,12
28901376,701899.943388588,1.42472512859154e-06,2
44040192,566031.0207079249,1.7666876256169105e-06,3
50331648,468852.4790256297,2.1328670418426755e-06,1
58982400,503901.3326144994,1.9871197023679787e-06,2
63700992,458457.6781172483,2.181226420084636e-06,3
88473600,394358.132340703,2.5357661424769525e-06,3
113246208,308006.70602935925,3.247349059865706e-06,2
118947840,308000.2282816159,3.247074260385406e-06,2
